4580914	297	1256	+	yellow
4580914	1345	2043	+	yellow
4580914	2199	4274	-	yellow
4580914	4579	4770	+	yellow
4580914	4973	6307	+	yellow
4580914	6319	7959	-	yellow
4580914	8164	10668	-	yellow
4580914	10789	12030	+	yellow
4580914	12067	13041	-	yellow
4580914	13375	14163	-	yellow
4580914	14160	15242	-	yellow
4580914	15239	16300	-	yellow
4580914	16409	17071	+	yellow
4580914	17106	17342	-	yellow
4580914	17582	17965	+	yellow
4580914	18050	18916	-	yellow
4580914	18913	19605	-	yellow
4580914	19662	20144	-	yellow
4580914	20308	21702	-	yellow
4580914	22095	22979	+	yellow
4580914	23800	24027	-	yellow
4580914	24024	24251	-	yellow
4580914	24370	25164	+	yellow
4580914	25157	25369	+	yellow
4580914	25592	28714	+	yellow
4580914	29002	31449	-	yellow
4580914	31705	32004	-	yellow
4580914	32229	33674	+	yellow
4580914	33697	33867	-	yellow
4580914	34016	34465	+	yellow
4580914	34561	35907	+	yellow
4580914	35986	36486	-	yellow
4580914	36548	37120	+	yellow
4580914	37314	38303	-	yellow
4580914	38351	38941	-	yellow
4580914	39033	39716	-	yellow
4580914	39811	40824	+	yellow
4580914	40875	41582	-	yellow
4580914	41748	42866	-	yellow
4580914	43085	44023	+	yellow
4580914	44133	45320	+	yellow
4580914	45536	46033	+	yellow
4580914	46250	47059	+	yellow
4580914	47056	48810	+	yellow
4580914	48807	50411	+	yellow
4580914	50523	52469	+	yellow
4580914	52466	53662	+	yellow
4580914	53632	53853	-	yellow
4580914	53814	54992	-	yellow
4580914	54989	55135	-	yellow
4580914	55174	55779	-	yellow
4580914	56222	57208	+	yellow
4580914	57226	57702	+	yellow
4580914	57913	59487	+	yellow
4580914	59619	60353	+	yellow
4580914	60341	60940	+	yellow
4580914	60985	61686	-	yellow
4580914	61969	63069	+	yellow
4580914	63734	65146	+	yellow
4580914	65365	66174	-	yellow
4580914	66476	67168	+	yellow
4580914	67855	68712	+	yellow
4580914	68702	70303	-	yellow
4580914	70300	71073	-	yellow
4580914	71286	71945	-	yellow
4580914	72332	73711	+	yellow
4580914	73867	75810	+	yellow
4580914	75870	77198	-	yellow
4580914	77364	77810	+	yellow
4580914	77976	78851	+	yellow
4580914	78982	80526	-	yellow
4580914	80523	81728	-	yellow
4580914	81743	85669	-	yellow
4580914	85847	87310	-	yellow
4580914	87307	87888	-	yellow
4580914	88337	88711	+	yellow
4580914	89051	89863	+	yellow
4580914	89860	90060	+	yellow
4580914	90205	91509	+	yellow
4580914	92217	92735	+	yellow
4580914	92775	94325	-	yellow
4580914	94603	95766	+	yellow
4580914	95778	96653	+	yellow
4580914	97226	97603	+	yellow
4580914	97945	98871	-	yellow
4580914	98958	99869	+	yellow
4580914	99988	101193	+	yellow
4580914	101190	102257	+	yellow
4580914	102299	102553	-	yellow
4580914	102674	103930	+	yellow
4580914	103862	104860	-	yellow
4580914	104905	106248	+	yellow
4580914	106294	106785	-	yellow
4580914	107103	107936	+	yellow
4580914	108188	108631	+	yellow
4580914	108643	109239	-	yellow
4580914	109399	110199	-	yellow
4580914	110285	112534	-	yellow
4580914	112961	113407	+	yellow
4580914	113404	113967	+	yellow
4580914	114016	114297	+	yellow
4580914	114290	114694	+	yellow
4580914	114756	115499	-	yellow
4580914	115496	115918	-	yellow
4580914	116075	117187	-	yellow
4580914	117320	119542	-	yellow
4580914	119556	120404	-	yellow
4580914	120617	120850	-	yellow
4580914	120918	121127	-	yellow
4580914	121124	121951	-	yellow
4580914	122057	122290	+	yellow
4580914	122359	122586	+	yellow
4580914	122730	123905	-	yellow
4580914	124140	125330	+	yellow
4580914	125330	125821	+	yellow
4580914	125956	126603	-	yellow
4580914	126862	127665	+	yellow
4580914	127878	130400	+	yellow
4580914	130435	131004	-	yellow
4580914	131373	131930	+	yellow
4580914	131942	132493	+	yellow
4580914	132549	133334	-	yellow
4580914	133331	133795	-	yellow
4580914	133801	134955	-	yellow
4580914	135112	135540	+	yellow
4580914	135537	136757	+	yellow
4580914	136967	138583	+	yellow
4580914	138956	140011	+	yellow
4580914	140340	140498	-	yellow
4580914	140706	140930	-	yellow
4580914	141135	144074	-	yellow
4580914	144410	145636	+	yellow
4580914	145693	146346	-	yellow
4580914	146371	146973	-	yellow
4580914	147049	148071	-	yellow
4580914	148728	149048	-	yellow
4580914	149245	150489	-	yellow
4580914	150490	150804	-	yellow
4580914	151030	151206	+	yellow
4580914	151354	151665	+	yellow
4580914	151736	152536	-	yellow
4580914	152711	153664	+	yellow
4580914	153691	154476	+	yellow
4580914	154621	155742	+	yellow
4580914	155907	157646	+	yellow
4580914	157643	159103	+	yellow
4580914	159347	160933	+	yellow
4580914	161024	161233	-	yellow
4580914	161230	162093	-	yellow
4580914	162165	162404	+	yellow
4580914	162401	162616	+	yellow
4580914	162642	162959	+	yellow
4580914	162996	163331	-	yellow
4580914	163382	164908	-	yellow
4580914	165009	165332	-	yellow
4580914	165479	166810	-	yellow
4580914	166923	167207	+	yellow
4580914	167204	167602	+	yellow
4580914	167960	170521	+	yellow
4580914	170689	171804	+	yellow
4580914	171924	173501	-	yellow
4580914	173808	174590	-	yellow
4580914	174737	175576	+	yellow
4580914	175749	175958	-	yellow
4580914	176182	177048	-	yellow
4580914	177595	178356	-	yellow
4580914	178595	181273	+	yellow
4580914	181474	183333	+	yellow
4580914	183406	184314	-	yellow
4580914	184809	186107	+	yellow
4580914	186566	187510	+	blue
4580914	187547	188227	-	blue
4580914	188224	189438	-	blue
4580914	189545	192061	+	blue
4580914	192174	192941	+	blue
4580914	192943	195480	+	blue
4580914	195667	197160	-	blue
4580914	197423	197842	+	blue
4580914	198094	200211	-	blue
4580914	200246	200872	-	blue
4580914	201017	202711	-	blue
4580914	202775	204580	-	blue
4580914	204746	205237	+	blue
4580914	205386	206483	-	blue
4580914	206824	208026	+	blue
4580914	208042	208314	+	blue
4580914	208444	210282	+	blue
4580914	210366	211565	-	blue
4580914	211624	212319	-	blue
4580914	212359	213210	-	blue
4580914	213210	214409	-	blue
4580914	214678	215706	-	blue
4580914	215711	216730	-	blue
4580914	216962	217303	-	blue
4580914	217293	218177	-	blue
4580914	218214	218537	-	blue
4580914	218527	218847	-	blue
4580914	218847	219599	-	blue
4580914	219722	220183	-	blue
4580914	220194	220655	-	blue
4580914	220754	221992	-	blue
4580914	221989	223278	-	blue
4580914	223275	223709	-	blue
4580914	223706	224041	-	blue
4580914	224227	224607	+	blue
4580914	224699	225151	-	blue
4580914	225148	225540	-	blue
4580914	225540	226286	-	blue
4580914	226283	226552	-	blue
4580914	226609	227439	-	blue
4580914	227723	228499	-	blue
4580914	228643	229368	-	blue
4580914	229399	231225	-	blue
4580914	231304	232857	-	blue
4580914	233046	233240	+	blue
4580914	233948	234026	-	blue
4580914	235347	236936	+	blue
4580914	237116	237931	-	blue
4580914	238382	238954	+	blue
4580914	239209	239457	+	blue
4580914	239613	239957	-	blue
4580914	240290	241810	-	blue
4580914	242142	242357	+	blue
4580914	242441	243121	+	blue
4580914	243378	245177	+	blue
4580914	245915	246106	+	blue
4580914	246117	247046	+	blue
4580914	247254	247907	-	blue
4580914	248005	248703	-	blue
4580914	248750	249787	-	blue
4580914	249780	250211	-	blue
4580914	250353	250943	+	blue
4580914	251028	253331	-	blue
4580914	253568	254308	+	blue
